음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
원조태평소국밥 본관,소국밥,9000, , , , 
원조태평소국밥 본관,소내장탕,9000, , , , 
원조태평소국밥 본관,소갈비탕,11500, , , , 
원조태평소국밥 본관,매운소갈비찜(중),29000, , , , 
원조태평소국밥 본관,궁중소갈비찜(중),29000, , , , 
원조태평소국밥 본관,특내장탕,11000, , , , 
온천손칼국수쭈꾸미,조개 (물총) 칼국수,8500, , , , 
온천손칼국수쭈꾸미,쭈꾸미볶음,9500, , , , 
온천손칼국수쭈꾸미,물총탕,14000, , , , 
온천손칼국수쭈꾸미,수육,14000, , , , 
온천손칼국수쭈꾸미,공기밥,1000, , , , 
상무초밥 유성점,자부심초밥세트(10P),16900, , , , 
상무초밥 유성점,상무초밥세트(10P),20900, , , , 
상무초밥 유성점,진심초밥세트(10P),12900, , , , 
상무초밥 유성점,활어초밥(10P),18000, , , , 
상무초밥 유성점,참치초밥(10P),18000, , , , 
상무초밥 유성점,연어초밥(8P),16000, , , , 
원조태평소국밥 유성점,소국밥,8000, , , , 
원조태평소국밥 유성점,따로국밥,8500, , , , 
원조태평소국밥 유성점,소내장탕,8000, , , , 
원조태평소국밥 유성점,매운소갈비찜 (중),28000, , , , 
원조태평소국밥 유성점,궁중소갈비찜 (중),28000, , , , 
워낭명가,특양구이 (170g),29000, , , , 
워낭명가,대창구이 (180g),26000, , , , 
워낭명가,양념왕갈비 (300g),38000, , , , 
워낭명가,차돌박이 (150g),20000, , , , 
워낭명가,갈비탕,15000, , , , 
워낭명가,전복갈비탕,18000, , , , 
바르미 샤브샤브n칼국수 봉명점,쇠고기샤브샤브 (1인) (주말 . 공휴일),16800, , , , 
바르미 샤브샤브n칼국수 봉명점,한우샤브샤브 (1인) (주말 . 공휴일),18800, , , , 
바르미 샤브샤브n칼국수 봉명점,한우샤브샤브 (1인) (평일),17800, , , , 
바르미 샤브샤브n칼국수 봉명점,대표샤브샤브 (1인) (주말 . 공휴일),19800, , , , 
바르미 샤브샤브n칼국수 봉명점,대표샤브샤브 (1인) (평일),18800, , , , 
바르미 샤브샤브n칼국수 봉명점,쇠고기샤브샤브 (1인) (평일점심),14800, , , , 
일당감자탕,뼈다귀탕,11000, , , , 
일당감자탕,감자탕 (대),51000, , , , 
일당감자탕,감자탕 (중),41000, , , , 
일당감자탕,감자탕 (소),32000, , , , 
일당감자탕,한우사골우거지해장국,10000, , , , 
구들마루,닭도리탕(중),35000, , , , 
구들마루,삼계탕,14000, , , , 
구들마루,곱창전골(소),33000, , , , 
구들마루,한방누룽지백숙,55000, , , , 
구들마루,능이한방누룽지백숙,65000, , , , 
구들마루,능이삼계탕,16000, , , , 
띠울석갈비 유성직영점,소석갈비,27000, , , , 
띠울석갈비 유성직영점,돼지석갈비,17000, , , , 
띠울석갈비 유성직영점,갈비탕,15000, , , , 
띠울석갈비 유성직영점,냉면,8000, , , , 
띠울석갈비 유성직영점,비빔냉면,9000, , , , 
백마강참숯민물장어 유성점,민물장어 (한판),69000, , , , 
백마강참숯민물장어 유성점,민물장어 (반판),35000, , , , 
백마강참숯민물장어 유성점,장어탕 (대),8000, , , , 
백마강참숯민물장어 유성점,장어탕 (소),5000, , , , 
백마강참숯민물장어 유성점,소면,3000, , , , 
대손관 본점,밀면 (냉),9000, , , , 
대손관 본점,물비빔밀면,9000, , , , 
유람,푸드 및 음료 메뉴판,0, , , , 
유람,케이크 및 주류 메뉴판,0, , , , 
아케이드커피,에스프레소,4500, , , , 
아케이드커피,아메리카노,5500, , , , 
아케이드커피,플랫 화이트,5500, , , , 
아케이드커피,라떼,6000, , , , 
아케이드커피,아인슈페너,6000, , , , 
아케이드커피,밀크티,6500, , , , 
잇마이타이 봉명점,팟타이 (새우),9900, , , , 
잇마이타이 봉명점,쌀국수,9900, , , , 
잇마이타이 봉명점,똠양꿍누들,13900, , , , 
잇마이타이 봉명점,팟카파오무쌉,9900, , , , 
잇마이타이 봉명점,카오팟 탈레,9900, , , , 
잇마이타이 봉명점,카오팟 똠얌,9900, , , , 
르뺑99-1,아메리카노,3800, , , , 
르뺑99-1,카페라떼,4300, , , , 
르뺑99-1,녹차라떼,5000, , , , 
르뺑99-1,요거트,6000, , , , 
르뺑99-1,얼그레이,4500, , , , 
르뺑99-1,생자몽에이드,5800, , , , 
철수네매운갈비찜,매운 갈비찜(1인분),15000, , , , 
촌놈들연탄구이 본점,꼬들살(180g),13000, , , , 
촌놈들연탄구이 본점,오돌뼈(180g),13000, , , , 
촌놈들연탄구이 본점,매운오돌뼈(180g),13000, , , , 
촌놈들연탄구이 본점,껍데기(150g),8000, , , , 
촌놈들연탄구이 본점,주먹구이(150g),13000, , , , 
촌놈들연탄구이 본점,매운닭발,13000, , , , 
크래버대게나라 대전유성점,대게코스(특A)(1kg),0, , , , 
크래버대게나라 대전유성점,킹크랩코스(특A)(1kg),0, , , , 
크래버대게나라 대전유성점,랍스타코스(특A)(1kg),0, , , , 
따봉시래기,시래기 차돌쌈(110g),14000, , , , 
따봉시래기,시래기보쌈(대),38000, , , , 
따봉시래기,물냉면,8000, , , , 
따봉시래기,비빔냉면,9000, , , , 
작은화로,제주 흑돼지 오겹살,18000, , , , 
작은화로,한우 특수부위 모둠,98000, , , , 
작은화로,살치살,45000, , , , 
작은화로,안창살,45000, , , , 
작은화로,갈비살,42000, , , , 
작은화로,채끝등심,35000, , , , 
블레스롤 대전유성본점,아메리카노(아르꼬발레노),5200, , , , 
블레스롤 대전유성본점,블레스롤(얼그레이크림),17500, , , , 
블레스롤 대전유성본점,고백해(우유크림),10300, , , , 
블레스롤 대전유성본점,오더쿠크림,4500, , , , 
블레스롤 대전유성본점,빠더쿠크림,4500, , , , 
쁘리모,2인 파스타세트,41000, , , , 
쁘리모,2인 스테이크세트,52000, , , , 
미미삼겹,생삼겹살(국내산 180g),15000, , , , 
미미삼겹,냉동삼겹살 (국내산 180g),14000, , , , 
미미삼겹,볶음밥,3000, , , , 
미미삼겹,공기밥,1000, , , , 
임진강장어,한방장어소금구이(1판),69000, , , , 
임진강장어,장어추가(1인분),35000, , , , 
임진강장어,산더덕장어구이(1인분),35000, , , , 
임진강장어,고추장양념구이(1인분),32000, , , , 
임진강장어,간장양념구이(1인분),32000, , , , 
임진강장어,산더덕구이,15000, , , , 
황산옥,활참복지리(1인),39000, , , , 
황산옥,활참복아욱(1인),39000, , , , 
황산옥,까치복매운탕(1인),23000, , , , 
황산옥,밀복매운탕(1인),18000, , , , 
황산옥,뚝배기해장지리,12000, , , , 
아리랑옛날순대,모듬순대(중),10000, , , , 
아리랑옛날순대,모듬순대(대),14000, , , , 
아리랑옛날순대,돼지수육,15000, , , , 
아리랑옛날순대,돼지머리리수육,15000, , , , 
청주해장국 유성본점,도가니탕,13900, , , , 
청주해장국 유성본점,소내장탕,9900, , , , 
청주해장국 유성본점,소고기해장국,9900, , , , 
청주해장국 유성본점,황태해장국,9900, , , , 
청주해장국 유성본점,선지해장국,8900, , , , 
청주해장국 유성본점,콩나물해장국,8900, , , , 
설천순대국밥 유성직영점,순대국밥,9000, , , , 
설천순대국밥 유성직영점,순대국밥 (특),10000, , , , 
설천순대국밥 유성직영점,맛순대 (1접시),9000, , , , 
설천순대국밥 유성직영점,미니족 (1접시),9000, , , , 
설천순대국밥 유성직영점,맛내장 (1접시),17000, , , , 
설천순대국밥 유성직영점,술국,17000, , , , 
속풀이부추칼국수황제보쌈 유성점,바지락칼국수,10000, , , , 
속풀이부추칼국수황제보쌈 유성점,속풀이칼국수,10000, , , , 
속풀이부추칼국수황제보쌈 유성점,미니족발,10000, , , , 
속풀이부추칼국수황제보쌈 유성점,황제보쌈 (대),48000, , , , 
속풀이부추칼국수황제보쌈 유성점,황제보쌈 (중),38000, , , , 
속풀이부추칼국수황제보쌈 유성점,황제보쌈 (소),25000, , , , 
쿠우쿠우 대전유성점,평일런치,22900, , , , 
쿠우쿠우 대전유성점,평일디너,27900, , , , 
쿠우쿠우 대전유성점,주말 및 공휴일,29900, , , , 
쿠우쿠우 대전유성점,초등학생 평일런치,15900, , , , 
쿠우쿠우 대전유성점,초등학생 평일디너/주말,16900, , , , 
쿠우쿠우 대전유성점,미취학아동(36개월 이상),8000, , , , 
청담이상 대전봉명점,아보카도연어사라다,24000, , , , 
청담이상 대전봉명점,참소라 숙회,30000, , , , 
청담이상 대전봉명점,새우장,12000, , , , 
청담이상 대전봉명점,치킨 가라아게,11000, , , , 
청담이상 대전봉명점,소고기 해물나베,22000, , , , 
진원소우 대전봉명점,성인,27500, , , , 
진원소우 대전봉명점,초등,17500, , , , 
진원소우 대전봉명점,유아,10000, , , , 
아웃백스테이크하우스 유성점,치킨 텐더 샐러드,29900, , , , 
아웃백스테이크하우스 유성점,홈파티 4인 세트,150900, , , , 
아웃백스테이크하우스 유성점,짐붐바 스테이크 3인 세트,85900, , , , 
아웃백스테이크하우스 유성점,갈릭 립아이 스테이크 2인 세트,70900, , , , 
아웃백스테이크하우스 유성점,아웃백 × 코카-콜라 2인 세트,61900, , , , 
아웃백스테이크하우스 유성점,카카두 김치 그릴러 2인 세트,55900, , , , 
향미각 유성점,탕수육(소),13000, , , , 
향미각 유성점,알꼬막짬뽕(밥),10000, , , , 
향미각 유성점,소고기짬뽕(밥),10000, , , , 
향미각 유성점,유니짜장(밥),7000, , , , 
향미각 유성점,군만두,5000, , , , 
제주똥돼지오겹살,제주오겹살,15000, , , , 
제주똥돼지오겹살,생목살,15000, , , , 
제주똥돼지오겹살,생항정살,16000, , , , 
제주똥돼지오겹살,생갈매기살,16000, , , , 
제주똥돼지오겹살,소갈비살,16000, , , , 
제주똥돼지오겹살,대구막창,13000, , , , 
유명돌구이,주물럭 (1인),15000, , , , 
유명돌구이,생삼겹살 (1인),16000, , , , 
유명돌구이,삼겹살 (냉동) (1인),15000, , , , 
전주집,돌솥밥+시래기탕,10000, , , , 
전주집,생삼겹살 (150g 1인),14000, , , , 
전주집,시래기송안지 갈비찜 (250g 1인분),25000, , , , 
전주집,돌솥밥+시래기갈비탕,14000, , , , 
전주집,돌솥밥+된장찌개,10000, , , , 
어선재,회정식,30000, , , , 
어선재,초밥,25000, , , , 
어선재,물회,25000, , , , 
어선재,생우럭탕,29000, , , , 
어선재,어선재A(1인),150000, , , , 
스바라시라멘 본점,스바라시 라멘,10000, , , , 
스바라시라멘 본점,해물미소라멘,10000, , , , 
스바라시라멘 본점,돈코츠라멘,9500, , , , 
스바라시라멘 본점,카라이쇼유라멘,9500, , , , 
스바라시라멘 본점,미소라멘,9000, , , , 
썸데이작은화로 직영점,제주흑돼지 오겹살(150g),19000, , , , 
썸데이작은화로 직영점,제주흑돼지 목살(150g),19000, , , , 
썸데이작은화로 직영점,백돼지오겹살(150g),17000, , , , 
썸데이작은화로 직영점,백돼지목살(150g),17000, , , , 
썸데이작은화로 직영점,목살양념구이(200g),16000, , , , 
썸데이작은화로 직영점,돼지생갈비(170g),16000, , , , 
황우마을,소고기 무한리필 (모듬) (1인당),29000, , , , 
황우마을,소고기 무한리필 (특선) (1인당),31000, , , , 
황우마을,한우 암소 꽃등심,39000, , , , 
황우마을,소갈비살,21000, , , , 
황우마을,소고기 떡갈비,15000, , , , 
장수진곰탕,진곰탕,13000, , , , 
장수진곰탕,양곰탕,13000, , , , 
장수진곰탕,꼬리곰탕,20000, , , , 
장수진곰탕,도가니탕,20000, , , , 
장수진곰탕,갈비탕,15000, , , , 
장수진곰탕,장수국밥,13000, , , , 
맛찬들왕소금구이 대전봉명점,숙성생삼겹살(150g),17000, , , , 
맛찬들왕소금구이 대전봉명점,숙성생목살(150g),17000, , , , 
맛찬들왕소금구이 대전봉명점,숙성오겹살(150g),19000, , , , 
부연부,하교,12000, , , , 
부연부,구채교,12000, , , , 
부연부,파채교,12000, , , , 
부연부,황지향기린구이, 당초운탄,,12000, , , , 
부연부,춘권, 산이작춘권,12000, , , , 
부연부,비취교, 상하이소롱포,12000, , , , 
왕가,비트탕수육 (소),23000, , , , 
왕가,양장피 (소),28000, , , , 
왕가,칠리왕새우 (소),30000, , , , 
왕가,한우유니짜장,8000, , , , 
왕가,한우유니짜장밥,7000, , , , 
왕가,고기짬뽕,8000, , , , 
이순신소국밥,따로국밥,8000, , , , 
이순신소국밥,소국밥,8000, , , , 
이순신소국밥,매운소갈비찜 (750g),32000, , , , 
이순신소국밥,냄비 불닭발,17000, , , , 
이순신소국밥,쫄대기 짜글짜글,20000, , , , 
이순신소국밥,육회(120g),15000, , , , 
달콩수제팥빙수단팥죽,단팥죽,4000, , , , 
달콩수제팥빙수단팥죽,팥빙수,4000, , , , 
달콩수제팥빙수단팥죽,수제 청귤차,4000, , , , 
달콩수제팥빙수단팥죽,수제 쌍화차,7000, , , , 
달콩수제팥빙수단팥죽,수제 대추차,7000, , , , 
달콩수제팥빙수단팥죽,더치 아메리카노(HOT),2500, , , , 
늘상상,사천탕면,12000, , , , 
늘상상,해물짬뽕,11000, , , , 
늘상상,냉짬뽕,13000, , , , 
늘상상,유니짜장,8000, , , , 
늘상상,해물우동,10000, , , , 
늘상상,새우차오판,13000, , , , 
화도갈비 모란정,돼지갈비 (1인),13000, , , , 
화도갈비 모란정,숙성 통삼겹 (1인),13000, , , , 
화도갈비 모란정,숙성 통목살 (1인),13000, , , , 
화도갈비 모란정,녹두전,10000, , , , 
화도갈비 모란정,차돌 된장찌개,4000, , , , 
스타벅스 대전도안DT점,블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전도안DT점,아이스 블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전도안DT점,아이스 마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전도안DT점,마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전도안DT점,스퀴즈드 오렌지 주스 100ML,3800, , , , 
스타벅스 대전도안DT점,수박 주스 190ML,4500, , , , 
옛날숯불갈비,양념돼지갈비,15000, , , , 
옛날숯불갈비,양념소갈비,37000, , , , 
옛날숯불갈비,한우우거지탕,9000, , , , 
옛날숯불갈비,물냉면,7000, , , , 
옛날숯불갈비,비빔냉면,7000, , , , 
옛날숯불갈비,안창(150g),55000, , , , 
숯불닭구이 호연재 봉명본점,어복쟁반해물순두부,7000, , , , 
숯불닭구이 호연재 봉명본점,명인 반근 숯불닭갈비(소금),13000, , , , 
숯불닭구이 호연재 봉명본점,시가단매실하이볼,0, , , , 
숯불닭구이 호연재 봉명본점,화간장,0, , , , 
숯불닭구이 호연재 봉명본점,점심특선 닭갈비모둠,40000, , , , 
숯불닭구이 호연재 봉명본점,동춘당 닭갈비 볶음밥 (2인분양),6500, , , , 
양탄가,양밥,18000, , , , 
양탄가,내장탕,8000, , , , 
양탄가,특양구이(150g),29000, , , , 
양탄가,대창구이(160g),28000, , , , 
양탄가,한우생등심(140g),49000, , , , 
달빛참치 대전유성점,달코스(1인),45000, , , , 
달빛참치 대전유성점,빛코스(1인),65000, , , , 
달빛참치 대전유성점,참다랑어 스페셜(1인),80000, , , , 
달빛참치 대전유성점,달초밥(1인),20000, , , , 
달빛참치 대전유성점,빛초밥(1인),30000, , , , 
하루토,일품요리특선(2~3)인분,150000, , , , 
하루토,참치회(2~3)인분,80000, , , , 
하루토,치즈계란말이,13000, , , , 
하루토,육회덮밥,10000, , , , 
하루토,소고기야채구이,5000, , , , 
하루토,염통구이,3000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,유황오리훈제구이 한마리,65000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,유황오리훈제구이 반마리,45000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,유황오리양념주물럭구이 한마리,65000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,오리능이백숙,70000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,왕갈비찜,50000, , , , 
형과아우누룽지삼계탕&왕갈비탕 대전체인본점직영점,전복낚지왕갈비찜,65000, , , , 
진월당,명품동지팥죽,11000, , , , 
진월당,명품호박죽,11000, , , , 
진월당,명품팥칼국수,10000, , , , 
진월당,황태칼제비,10000, , , , 
진월당,손왕만두,6000, , , , 
진월당,명품맷돌콩물국수 (여름메뉴),11000, , , , 
스타벅스 대전유성점,블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전유성점,아이스 블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전유성점,아이스 마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전유성점,마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전유성점,스퀴즈드 오렌지 주스 100ML,3800, , , , 
스타벅스 대전유성점,수박 주스 190ML,4500, , , , 
아랑횟집,광어 사시미 (소),60000, , , , 
아랑횟집,우럭 사시미 (소),60000, , , , 
아랑횟집,도미 사시미 (대),120000, , , , 
아랑횟집,모듬 사시미 (소),70000, , , , 
아랑횟집,명품 참치 (소),110000, , , , 
도이식탁,참.딱.광.문(예약메뉴),66000, , , , 
도이식탁,참.딱(참다랑어예약메뉴),55000, , , , 
도이식탁,딱.광.문,46000, , , , 
도이식탁,딱새우회,38000, , , , 
도이식탁,딱새우찜(소),38000, , , , 
도이식탁,스키야끼,25000, , , , 
육사구이 봉명점,구이세트 1,41000, , , , 
육사구이 봉명점,육회C,31000, , , , 
육사구이 봉명점,육회B,41000, , , , 
육사구이 봉명점,육회A,51000, , , , 
육사구이 봉명점,화로구이,41000, , , , 
육사구이 봉명점,육사시미,36000, , , , 
인기명 대전유성점,조개찜(2인),53000, , , , 
인기명 대전유성점,랍스터 조개찜(2인),83000, , , , 
인기명 대전유성점,매운 돼지갈비찜(3~4인),59000, , , , 
인기명 대전유성점,소갈비찜(3~4인),73000, , , , 
징기스 유성점,양고기모둠+명란구이 세트(2인),66000, , , , 
징기스 유성점,양고기모둠+명란구이+야끼니쿠+이지타마고 세트(2인),75000, , , , 
징기스 유성점,양고기모둠+명란구이+감자탕 세트(2인),67000, , , , 
불이아 대전봉명점,양꼬치SET 메뉴 (2~3인),47000, , , , 
불이아 대전봉명점,양꼬치BEST 메뉴,36000, , , , 
불이아 대전봉명점,훠궈SET 메뉴 (2~3인),70000, , , , 
불이아 대전봉명점,홍탕정식 또는 토마토탕정식 (1인),28500, , , , 
불이아 대전봉명점,불이아정식 (1인),23500, , , , 
불이아 대전봉명점,양고기정식 (1인),24000, , , , 
라무다찌 본점,라무세트(2인),69000, , , , 
라무다찌 본점,다찌세트(2인),89000, , , , 
라무다찌 본점,양꽃등심(200g),33000, , , , 
라무다찌 본점,양갈비(200g),30000, , , , 
라무다찌 본점,프렌치랙(200g),36000, , , , 
송정설렁탕 본점,설렁탕,8000, , , , 
송정설렁탕 본점,갈비탕,10000, , , , 
송정설렁탕 본점,육개장,8000, , , , 
송정설렁탕 본점,전복낙지(2인),48000, , , , 
송정설렁탕 본점,해물갈비찜(소),48000, , , , 
부잣집 곰탕,모듬찜(중),40000, , , , 
부잣집 곰탕,맛보기 모듬수육(1~2인용),15000, , , , 
부잣집 곰탕,양수육,30000, , , , 
부잣집 곰탕,도가니수육,35000, , , , 
부잣집 곰탕,꼬리수육,40000, , , , 
비바릴리 도안점,티본스테이크,88000, , , , 
비바릴리 도안점,토마토 루나,22000, , , , 
비바릴리 도안점,크로칸테,21000, , , , 
비바릴리 도안점,포모도로,19000, , , , 
비바릴리 도안점,씨져샐러드,14000, , , , 
비바릴리 도안점,한우채끝등심스테이크,47000, , , , 
다해어죽,다해어죽,9000, , , , 
다해어죽,도리뱅뱅,13000, , , , 
다해어죽,미꾸리지튀김,13000, , , , 
다해어죽,민물새우탕 (중),35000, , , , 
다해어죽,빠가매운탕 (중),35000, , , , 
마시기통차 유성본점,뒷고기(150g),6000, , , , 
마시기통차 유성본점,갈매기살(150g),9000, , , , 
마시기통차 유성본점,삼겹살(150g),9000, , , , 
마시기통차 유성본점,꼬리살(150g),7000, , , , 
마시기통차 유성본점,껍데기(150g),6000, , , , 
스시유이,광어 Sushi,25000, , , , 
스시유이,연어 Sushi,24000, , , , 
스시유이,스테이크 Sushi,25000, , , , 
스시유이,A Course,24000, , , , 
고향촌,생선구이백반 (2인 이상),10000, , , , 
고향촌,촌돼지찌개,10000, , , , 
고향촌,순두부찌개,9000, , , , 
고향촌,청국장찌개,9000, , , , 
고향촌,된장찌개,9000, , , , 
고향촌,김치찌개,9000, , , , 
유성만두 대전점,만두전골,12000, , , , 
유성만두 대전점,만두국,10000, , , , 
유성만두 대전점,떡국,9000, , , , 
유성만두 대전점,군만두,9000, , , , 
유성만두 대전점,찐만두,8000, , , , 
유성만두 대전점,떡만두국,10000, , , , 
코운스시,코운사시미 (1인),35000, , , , 
코운스시,광어 (2pcs),4000, , , , 
코운스시,광어지느러미 (2pcs),4500, , , , 
코운스시,참다랑어 (2pcs),4000, , , , 
고치소사마,일본 가정식 커리 라이스,8000, , , , 
고치소사마,일본 가정식 커리 우동,8000, , , , 
고치소사마,일본식 가츠오 우동,8000, , , , 
고치소사마,생연어 초밥 (10P),23000, , , , 
고치소사마,대왕연어초밥 (5P),29000, , , , 
삼복가든,한우생등심 (150g),36000, , , , 
삼복가든,한우특수부위 (150g),49000, , , , 
삼복가든,육회 (200g),35000, , , , 
삼복가든,불고기 (200g),18000, , , , 
삼복가든,불고기정식 (200g),22000, , , , 
삼복가든,궁중전골,13000, , , , 
온천돌구이,삼겹살 (400g),18000, , , , 
온천돌구이,주물럭 (400g),16000, , , , 
온천돌구이,볶음밥,2000, , , , 
어가원,알탕,15000, , , , 
어가원,모듬초밥,20000, , , , 
어가원,물회,20000, , , , 
어가원,생대구탕,20000, , , , 
어가원,생연어초밥,20000, , , , 
