음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
타코앤칩스,엔칠라다세트(2인),39000, , , , 
타코앤칩스,타코세트(2인),37000, , , , 
타코앤칩스,보울(치킨or포크),9500, , , , 
타코앤칩스,파히타(단품),23000, , , , 
타코앤칩스,엔칠라다,23000, , , , 
파스쿠찌 유성온천역점,아이스아메리카노,4500, , , , 
갈마골초가김치 봉명직영점,두부수육김치,32000, , , , 
갈마골초가김치 봉명직영점,수육김치,32000, , , , 
갈마골초가김치 봉명직영점,홍어삼합김치,35000, , , , 
갈마골초가김치 봉명직영점,생갈비김치전골,27000, , , , 
갈마골초가김치 봉명직영점,김치찌개(1인),10000, , , , 
갈마골초가김치 봉명직영점,수육김치백반(1인),13000, , , , 
우니코 레스토랑카페,롱블랙,4000, , , , 
우니코 레스토랑카페,초코라떼,5500, , , , 
우니코 레스토랑카페,수제 레몬에이드,6000, , , , 
우니코 레스토랑카페,복숭아 아이스티,6000, , , , 
놀부전,동태전,15000, , , , 
놀부전,녹두전,14000, , , , 
놀부전,육전,20000, , , , 
놀부전,닭볶음탕,28000, , , , 
놀부전,짜글이찌개,18000, , , , 
예전손칼국시전문점,칼국수,7000, , , , 
예전손칼국시전문점,콩국수,9000, , , , 
예전손칼국시전문점,손수제비,8000, , , , 
초장집 대전봉명점,막회(큰접시),50000, , , , 
초장집 대전봉명점,막회(작은접시),38000, , , , 
초장집 대전봉명점,새뱅이탕,25000, , , , 
초장집 대전봉명점,알곤이찜,28000, , , , 
초장집 대전봉명점,알탕,28000, , , , 
초장집 대전봉명점,순살양념게장밥,15000, , , , 
가보소짬뽕,등심탕수육 (소),12000, , , , 
가보소짬뽕,크림새우 (소),23000, , , , 
가보소짬뽕,삼선짬뽕,9000, , , , 
가보소짬뽕,하얀짬뽕,8000, , , , 
가보소짬뽕,유슬짬뽕,8000, , , , 
가보소짬뽕,가보소짬뽕,7000, , , , 
하늘천숯불갈비 대전유성점,소양념갈비,35000, , , , 
하늘천숯불갈비 대전유성점,돼지갈비,17000, , , , 
하늘천숯불갈비 대전유성점,갈비탕,15000, , , , 
하늘천숯불갈비 대전유성점,한우육회비빔밥,15000, , , , 
하늘천숯불갈비 대전유성점,돼지통삼겹,16000, , , , 
하늘천숯불갈비 대전유성점,돼지생갈비,16000, , , , 
무양도원,살치살(150g),26000, , , , 
무양도원,등심(150g),24000, , , , 
무양도원,양갈비(200g),28000, , , , 
무양도원,프렌치렉(200g),32000, , , , 
무양도원,공기밥,1000, , , , 
무양도원,냉코쇼면,4000, , , , 
소아브,모닝세트,9500, , , , 
소아브,아메리카노,4500, , , , 
소아브,카페라떼,5500, , , , 
소아브,바닐라라떼,6000, , , , 
소아브,카푸치노,6000, , , , 
소아브,아포가토,6000, , , , 
온담,직각목살,14000, , , , 
온담,온겹살,14000, , , , 
온담,온백살,14000, , , , 
온담,온담비빔국수,6000, , , , 
온담,라면된장전골,5000, , , , 
곱창고 봉명점,한우곱창구이,19900, , , , 
곱창고 봉명점,대창구이,16900, , , , 
곱창고 봉명점,막창,12900, , , , 
곱창고 봉명점,염통구이,12900, , , , 
곱창고 봉명점,특양구이,19900, , , , 
곱창고 봉명점,곱창구이,12900, , , , 
회랑스시랑,도다리쑥국,17000, , , , 
회랑스시랑,물메기탕,17000, , , , 
회랑스시랑,실장스페셜 코스,70000, , , , 
회랑스시랑,특사시미 코스,55000, , , , 
회랑스시랑,사시미 코스,45000, , , , 
회랑스시랑,특정식,35000, , , , 
윤가네해장국,뼈다귀해장국,10000, , , , 
윤가네해장국,갈비김치전골 (소),34000, , , , 
윤가네해장국,뼈다귀감자탕 (소),30000, , , , 
윤가네해장국,콩나물해장국,7000, , , , 
윤가네해장국,황태해장국,9000, , , , 
윤가네해장국,갈비김치전골 (중),42000, , , , 
소란,하이볼,8000, , , , 
소란,커스터드 푸딩,6500, , , , 
소란,칵테일,9000, , , , 
소란,와인,10000, , , , 
소란,위스키,7000, , , , 
소란,감자튀김,7000, , , , 
생고기연구소 유성온천점,생삼겹살 한판,21900, , , , 
생고기연구소 유성온천점,생삼겹살 한판+스톤스테이크,29900, , , , 
생고기연구소 유성온천점,소한마리,29900, , , , 
생고기연구소 유성온천점,소한마리+스톤스테이크,39900, , , , 
생고기연구소 유성온천점,스톤 스테이크 (1인),9900, , , , 
김대감 봉명점,한우국밥,9000, , , , 
김대감 봉명점,소머리곰탕,10000, , , , 
김대감 봉명점,한우곱창전골 (중),38000, , , , 
김대감 봉명점,소머리수육,38000, , , , 
김대감 봉명점,한우 아롱사태,38000, , , , 
스시세이도,런치 스시 오마카세,60000, , , , 
스시세이도,디너 스시 오마카세,110000, , , , 
피즈,모듬 사시미,32000, , , , 
제주똥돼지오겹살 봉명동직영점,제주오겹살,14000, , , , 
제주똥돼지오겹살 봉명동직영점,제주생목살,14000, , , , 
제주똥돼지오겹살 봉명동직영점,소갈비살,15000, , , , 
제주똥돼지오겹살 봉명동직영점,대구막창,12000, , , , 
제주똥돼지오겹살 봉명동직영점,홍탁,15000, , , , 
호박 꽃마차 봉명점,마차 모리 아와세(2인),63000, , , , 
청학동양푼이동태찌개,동태찌개,10000, , , , 
청학동양푼이동태찌개,코다리찜 (중),35000, , , , 
청학동양푼이동태찌개,동태전 (중),13000, , , , 
청학동양푼이동태찌개,매운족발,19000, , , , 
청학동양푼이동태찌개,미니족발,8000, , , , 
청학동양푼이동태찌개,물만두,6000, , , , 
삼바리,닭발숯불구이+산낙지숯불구이(2마리),63000, , , , 
삼바리,산낙지숯불구이(2마리),40000, , , , 
삼바리,문어숯불구이,40000, , , , 
삼바리,닭발숯불구이,25000, , , , 
삼바리,얼큰조개해물탕(동양),50000, , , , 
삼바리,조개탕(스탠다드용),45000, , , , 
비머스트 봉명점,플레인 휘낭시에,3000, , , , 
비머스트 봉명점,솔티카라멜 휘낭시에,3200, , , , 
비머스트 봉명점,인절미찰떡 휘낭시에,3200, , , , 
천복삼겹살,삼겹살,13000, , , , 
천복삼겹살,항정살,14000, , , , 
천복삼겹살,이베리코목살,14000, , , , 
천복삼겹살,청국장,8000, , , , 
천복삼겹살,갈비김치찌개,8000, , , , 
온니 요리주점,할라피뇨 치킨,19000, , , , 
온니 요리주점,배추술찜,28000, , , , 
온니 요리주점,김치치즈튀김밥,10000, , , , 
온니 요리주점,차돌 버섯 전골,31000, , , , 
온니 요리주점,닭전,15000, , , , 
온니 요리주점,피자토스트,6000, , , , 
늘봄한우,늘봄스페샬 (100g),26000, , , , 
늘봄한우,생갈비 (100g),26000, , , , 
늘봄한우,안창살 (100g),26000, , , , 
늘봄한우,꽃등심 (100g),18600, , , , 
늘봄한우,돼지갈비 (250g),13000, , , , 
늘봄한우,다이아몬드삼겹살 (500g),36000, , , , 
쥬뗌치킨 유성봉명점,치즈파닭,19000, , , , 
쥬뗌치킨 유성봉명점,타꼬야끼 치킨,18000, , , , 
쥬뗌치킨 유성봉명점,허브크리스피치킨,16000, , , , 
쥬뗌치킨 유성봉명점,오리지널로스트치킨,17000, , , , 
쥬뗌치킨 유성봉명점,오블갈릭치킨,22000, , , , 
쥬뗌치킨 유성봉명점,골뱅이무침사리,20000, , , , 
짬뽕의진수,짬뽕,7000, , , , 
짬뽕의진수,하얀짬뽕,6000, , , , 
짬뽕의진수,짜장면,4500, , , , 
짬뽕의진수,찹쌀탕수육 (소),10000, , , , 
짬뽕의진수,양장피,25000, , , , 
오사카데스 봉명점,오사카 플래터,34900, , , , 
오사카데스 봉명점,나폴리탄 스파게티,9900, , , , 
오사카데스 봉명점,부타볶음,9900, , , , 
오사카데스 봉명점,야끼소바,11000, , , , 
오사카데스 봉명점,오꼬노미야끼,10900, , , , 
오사카데스 봉명점,타코야끼,7900, , , , 
옛고을,촌돼지찌개,8000, , , , 
옛고을,야채불고기,12000, , , , 
옛고을,꽃살치살,45000, , , , 
옛고을,한우생갈비살,25000, , , , 
옛고을,갈비꽃살,32000, , , , 
옛고을,갈비안창,32000, , , , 
리파인,육회,29000, , , , 
리파인,들깨비빔파스타,17900, , , , 
리파인,비빔국수,17900, , , , 
리파인,명란파스타,17900, , , , 
리파인,우삼겹청양파스타,17900, , , , 
리파인,크림수제비,17900, , , , 
빈스포차,옛날통닭 한마리,13000, , , , 
빈스포차,똥집튀김,13000, , , , 
빈스포차,야채계란말이,13000, , , , 
빈스포차,모둠감자튀김,12000, , , , 
빈스포차,오뎅탕,14000, , , , 
빈스포차,진국황태탕,14000, , , , 
탐앤탐스 봉명점,아메리카노,4400, , , , 
짬뽕클라쓰 유성점,짬뽕,8000, , , , 
짬뽕클라쓰 유성점,순두부 짬뽕,9000, , , , 
짬뽕클라쓰 유성점,백짬뽕,10000, , , , 
짬뽕클라쓰 유성점,삼선짬뽕,10000, , , , 
짬뽕클라쓰 유성점,차돌 짬뽕,10000, , , , 
짬뽕클라쓰 유성점,마라탕면,12000, , , , 
봉명로스,생삼겹살(160g),14000, , , , 
봉명로스,급냉삼겹살(160g),14000, , , , 
봉명로스,봉명잔치국수,6000, , , , 
봉명로스,봉명비빔국수,6000, , , , 
봉명로스,차돌된장찌개,6000, , , , 
살롱드뱅,슈바인학센,48000, , , , 
살롱드뱅,만가닥버섯오일파스타,17000, , , , 
살롱드뱅,스타터플레이트,12000, , , , 
살롱드뱅,쉬림프로제꼰낄리아니,18000, , , , 
살롱드뱅,블루치즈 무화과 페스츄리 피자,20000, , , , 
살롱드뱅,페퍼로니 페스츄리 피자,20000, , , , 
정진돈,로스카츠,12000, , , , 
정진돈,히레카츠,13000, , , , 
정진돈,상로스카츠,14000, , , , 
정진돈,모둠카츠,15000, , , , 
오양참치,알탕,대구탕,지리(점심메뉴),13000, , , , 
오양참치,활어회,45000, , , , 
오양참치,초밥정식(점심메뉴),20000, , , , 
오양참치,오양정식(점심메뉴),30000, , , , 
오양참치,생우럭탕(점심메뉴),20000, , , , 
오양참치,특모듬회(저녁메뉴),69000, , , , 
토리아에즈 대전봉명점,아스파,3300, , , , 
토리아에즈 대전봉명점,토마토,3300, , , , 
토리아에즈 대전봉명점,모찌,2900, , , , 
토리아에즈 대전봉명점,팽이,2900, , , , 
토리아에즈 대전봉명점,쯔쿠네,4500, , , , 
토리아에즈 대전봉명점,양어깨살,2800, , , , 
윅스커피,필터커피,0, , , , 
윅스커피,바나나 푸딩,6000, , , , 
윅스커피,복숭아 크림샌드,5500, , , , 
윅스커피,아메리카노,4000, , , , 
윅스커피,라떼,4500, , , , 
생마차 대전봉명점,오이사라다,4000, , , , 
생마차 대전봉명점,생강토마토,6500, , , , 
생마차 대전봉명점,설탕토마토,6500, , , , 
생마차 대전봉명점,땡초물만두,6000, , , , 
생마차 대전봉명점,은행구이,7000, , , , 
생마차 대전봉명점,네기마요 타코야끼,9000, , , , 
김종구식맛치킨전기바베큐 도안봉명점,찹쌀통닭구이,13000, , , , 
김종구식맛치킨전기바베큐 도안봉명점,바싹옛날통닭,9500, , , , 
태극순대,양념곱창구이 (1인),11000, , , , 
태극순대,매콤양념무뼈닭발,16000, , , , 
태극순대,소곱창전골 (2인),23000, , , , 
태극순대,순대곱창전골 (2인),23000, , , , 
태극순대,순대곱창볶음 (중),23000, , , , 
인생마지막뭉티기,한우 뭉티기 (중),41000, , , , 
인생마지막뭉티기,육회,38000, , , , 
인생마지막뭉티기,한우 숙성뭉티기(중),36000, , , , 
인생마지막뭉티기,한우 타다끼,38000, , , , 
인생마지막뭉티기,한우물회,28000, , , , 
회포,모둠회,35000, , , , 
회포,광어회,35000, , , , 
정원맥주,항정살 수육전골,0, , , , 
오복대구탕,대구탕,11000, , , , 
오복대구탕,대구뽈탕,13000, , , , 
오복대구탕,대구전골 (중),40000, , , , 
오복대구탕,대구전골 (대),48000, , , , 
오복대구탕,대구뽈찜 (중),40000, , , , 
오복대구탕,대구뽈찜 (대),48000, , , , 
천강돌솥밥,자연산 버섯찌개+돌솥밥,8000, , , , 
천강돌솥밥,능이버섯 닭백숙(1인),15000, , , , 
천강돌솥밥,야관문 닭백숙(1인),10000, , , , 
천강돌솥밥,야관문 오리백숙,50000, , , , 
천강돌솥밥,능이버섯 오리백숙,50000, , , , 
소소하게,차돌박이 (120g),7900, , , , 
소소하게,우삼겹 (120g),6900, , , , 
소소하게,소갈비살 (120g),13900, , , , 
소소하게,한우차돌박이 (120g),14900, , , , 
소소하게,차돌된장찌개,5900, , , , 
소소하게,쫄면,4900, , , , 
더도담,고등어조림,12000, , , , 
더도담,병어조림,21000, , , , 
더도담,생선구이,12000, , , , 
더도담,순두부,8000, , , , 
더도담,대구뽈탕,9000, , , , 
더도담,참홍어탕,15000, , , , 
일이이사,갈비스테이크,29000, , , , 
일이이사,단짠매콤 등갈비튀김,27000, , , , 
일이이사,온기가득 닭찜과 채소찜,25000, , , , 
일이이사,두유국물까르보나라,16000, , , , 
일이이사,새우 버섯 슈렉리조또,16500, , , , 
일이이사,흑임자들깨크림파스타,16500, , , , 
타마,믹스야끼소바,14500, , , , 
타마,호르몬이끼소바,16500, , , , 
타마,모츠나베,35000, , , , 
타마,나가사끼짬뽕,22000, , , , 
타마,스페셜모던야끼,15500, , , , 
타마,오뎅탕,20000, , , , 
BBQ 대전봉명점,땡초숯불양념치킨,25000, , , , 
BBQ 대전봉명점,한입등갈비튀김,25000, , , , 
BBQ 대전봉명점,핫베이크 윙,24000, , , , 
BBQ 대전봉명점,핫베이크 닭다리,26000, , , , 
BBQ 대전봉명점,바사칸 윙,23000, , , , 
BBQ 대전봉명점,황금올리브치킨™,23000, , , , 
포케올데이 대전봉명점,현미밥포케(Brown rice poke),10900, , , , 
포케올데이 대전봉명점,메밀면포케(Soba noodle poke),10900, , , , 
포케올데이 대전봉명점,야채만포케(Vegetable only poke),10900, , , , 
포케올데이 대전봉명점,미트랩(Meat Wrap),5900, , , , 
포케올데이 대전봉명점,씨랩(Sea wrap),6900, , , , 
포케올데이 대전봉명점,단호박크림스프(Sweet pumpkin soup),3500, , , , 
스페인261,통마늘 안심스테이크,39900, , , , 
스페인261,슈바인학센,49900, , , , 
스페인261,알리오올리오 파스타,15900, , , , 
스페인261,까르보나라 파스타,16900, , , , 
스페인261,로제감베로니파스타,18900, , , , 
스페인261,아마트리치아나 만조,18900, , , , 
인생장칼 대전유성점,장국밥,8000, , , , 
인생장칼 대전유성점,장칼국수,8000, , , , 
인생장칼 대전유성점,불장칼국수,9000, , , , 
인생장칼 대전유성점,고기만두(2pc),3000, , , , 
인생장칼 대전유성점,고기만두(4pc),6000, , , , 
인생장칼 대전유성점,갈비만두(8pc),6000, , , , 
사랑방손칼국시,손칼국시,8000, , , , 
사랑방손칼국시,수제비,8000, , , , 
사랑방손칼국시,파전,12000, , , , 
사랑방손칼국시,김치전,12000, , , , 
사랑방손칼국시,두부두루치기,17000, , , , 
사랑방손칼국시,두부김치,20000, , , , 
주가든,모듬로스 (400g),130000, , , , 
주가든,밀랍숙성 (500g),100000, , , , 
주가든,한우떡국,15000, , , , 
주가든,생등심 (100g),32000, , , , 
주가든,생등심로스 (100g),28000, , , , 
주가든,양념등심로스 (100g),29000, , , , 
계화동 봉명점,닭다리살 (400g),12000, , , , 
계화동 봉명점,닭소금구이 (200g),12000, , , , 
계화동 봉명점,무뼈닭발 (300g),12000, , , , 
계화동 봉명점,양념불삼겹 (300g),12000, , , , 
계화동 봉명점,꼼장어 (200g),12000, , , , 
계화동 봉명점,닭똥집 (200g),11000, , , , 
크리베리,팥식빵,2000, , , , 
크리베리,슈크림,1200, , , , 
크리베리,호밀링,1000, , , , 
크리베리,야채구운빵,1200, , , , 
크리베리,소보로 꽈베기,1000, , , , 
무안낙지,아낙탕(소),40000, , , , 
무안낙지,산낙지철판볶음(1인분),22000, , , , 
무안낙지,불낙전골(소),40000, , , , 
무안낙지,묵은지낙지갈비찜(소),40000, , , , 
무안낙지,산낙지육회탕탕이,50000, , , , 
한신우동 봉명점,즉석우동,7500, , , , 
한신우동 봉명점,어묵우동,8500, , , , 
한신우동 봉명점,닭튀김우동,10000, , , , 
한신우동 봉명점,비빔우동,8000, , , , 
한신우동 봉명점,옛날통닭,13000, , , , 
한신우동 봉명점,왕돈까스,11000, , , , 
소문난진지상,모둠생선정식,10000, , , , 
소문난진지상,생선정식,8000, , , , 
소문난진지상,청국장정식,6000, , , , 
소문난진지상,제육볶음(중),10000, , , , 
소문난진지상,대패삼겹(300g),10000, , , , 
리케리케라운지,토마토바질파스타,17000, , , , 
리케리케라운지,볼로네즈,18000, , , , 
리케리케라운지,바질페스토,17000, , , , 
리케리케라운지,앤초비갈릭파스타,18000, , , , 
리케리케라운지,트러플 크림 메이플 항정살 파스타,21000, , , , 
리케리케라운지,뉴욕마르게리타피자,18000, , , , 
공차 대전유성온천점,블랙밀크티+펄(L),4700, , , , 
공차 대전유성온천점,망고 요구르트 + 화이트펄(L),5200, , , , 
공차 대전유성온천점,우롱티 + 코코넛 + 밀크폼(L),4700, , , , 
공차 대전유성온천점,초콜렛 밀크티 + 밀크폼(L),4700, , , , 
공차 대전유성온천점,딸기 쿠키 스무디 + 펄(L),5900, , , , 
공차 대전유성온천점,블랙 밀크티(L),4500, , , , 
코이누르,호주 와규 럼프 스테이크,58000, , , , 
코이누르,트러플 크림 감자 뇨끼,28000, , , , 
마포숯불갈매기 도안점,갈매기살,13000, , , , 
마포숯불갈매기 도안점,양념갈매기살,13500, , , , 
마포숯불갈매기 도안점,삼겹살,13000, , , , 
마포숯불갈매기 도안점,가브리살,14000, , , , 
마포숯불갈매기 도안점,항정살,14000, , , , 
마포숯불갈매기 도안점,갈비살,15000, , , , 
굽네치킨 유성온천점,오리지널,17900, , , , 
굽네치킨 유성온천점,고추바사삭,19900, , , , 
굽네치킨 유성온천점,치즈바사삭,19900, , , , 
굽네치킨 유성온천점,남해마늘바사삭,20900, , , , 
굽네치킨 유성온천점,마라 고추 바사삭,20900, , , , 
굽네치킨 유성온천점,오븐 바사삭,18900, , , , 
아리소바제면소,고사리소바,8900, , , , 
아리소바제면소,호렌소 소바,8900, , , , 
60계 대전유성점,6초치킨,20900, , , , 
60계 대전유성점,간지치킨,20900, , , , 
60계 대전유성점,고추치킨,20900, , , , 
60계 대전유성점,양념치킨,19900, , , , 
60계 대전유성점,장스치킨,20900, , , , 
60계 대전유성점,후라이드치킨,17900, , , , 
로드락비어 대전봉명점,바삭양송이튀김,8900, , , , 
로드락비어 대전봉명점,수박샤베트,9900, , , , 
로드락비어 대전봉명점,딸기큐브치즈아이스크림,8900, , , , 
로드락비어 대전봉명점,대왕소세지와콘치즈,13900, , , , 
로드락비어 대전봉명점,치즈볼 (8ea),7900, , , , 
로드락비어 대전봉명점,짜파구리 라볶이,7900, , , , 
제갈량양푼이동태찌개,한방 동태 맑은탕,8000, , , , 
제갈량양푼이동태찌개,양푼이동태찌개,7000, , , , 
제갈량양푼이동태찌개,대구 뽈 매운탕,9000, , , , 
제갈량양푼이동태찌개,대구 뽈 지리탕,8000, , , , 
제갈량양푼이동태찌개,불향 쭈꾸미볶음(소),15000, , , , 
가장맛있는뒷고기 유성점,제주명품뒷고기한판 (600g),39000, , , , 
가장맛있는뒷고기 유성점,제주산덜미살 (1인),13000, , , , 
가장맛있는뒷고기 유성점,제주산가브리살 (1인),16000, , , , 
가장맛있는뒷고기 유성점,제주산갈매기살 (1인),16000, , , , 
가장맛있는뒷고기 유성점,제주산항정살 (1인),16000, , , , 
가장맛있는뒷고기 유성점,제주산도깨비살 (1인),13000, , , , 
페리토에스프레소바,에스프레소,2000, , , , 
철길 부산집 봉명점,소고기 타다끼,20000, , , , 
철길 부산집 봉명점,숙성 연어사시미,29000, , , , 
철길 부산집 봉명점,치킨 가라아게,18000, , , , 
철길 부산집 봉명점,버터문어 다리구이,18900, , , , 
철길 부산집 봉명점,육회,20000, , , , 
도리토리 대전봉명점,3종꼬치(1인 1주문기준),11000, , , , 
도리토리 대전봉명점,5종꼬치(1인 1주문기준),17500, , , , 
도리토리 대전봉명점,7종꼬치(1인 1주문기준),24000, , , , 
상하,맑은 닭 전골,24000, , , , 
상하,얼큰 순두부 전골,25000, , , , 
상하,불맛 모듬 닭이닭,23000, , , , 
상하,쭈.새.소.동,22000, , , , 
상하,두부한모 우삼겹김치,22000, , , , 
상하,고구미 떡볶이,17000, , , , 
하얀물고기횟집,광어,50000, , , , 
하얀물고기횟집,우럭,50000, , , , 
하얀물고기횟집,강도다리세꼬시,50000, , , , 
하얀물고기횟집,강도다리회,50000, , , , 
하얀물고기횟집,자연산돌멍게,30000, , , , 
하얀물고기횟집,전복버터구이(5마리),30000, , , , 
꼬치는밤,치즈 다리살(3pcs),6000, , , , 
꼬치는밤,소고기 타다끼,18000, , , , 
꼬치는밤,명란 크림파스타,18000, , , , 
꼬치는밤,스키야키나베,25000, , , , 
꼬치는밤,진미채 튀김&감자 튀김,10000, , , , 
꼬치는밤,한라볼 하이볼,4500, , , , 
마라탕,소고기/양고기 (100g),3000, , , , 
마라탕,마라탕 (100g),1700, , , , 
마라탕,마라샹궈 (100g),3000, , , , 
마라탕,물만두,6000, , , , 
영칼로리포케 봉명점,수비드 닭다리살 포케,11900, , , , 
영칼로리포케 봉명점,수비드 목살 포케,11900, , , , 
영칼로리포케 봉명점,부채살 스테이크 포케,13900, , , , 
영칼로리포케 봉명점,곤부지메 연어 포케,13900, , , , 
영칼로리포케 봉명점,수비드 닭가슴살 포케,10900, , , , 
영칼로리포케 봉명점,부채살 도시락,12500, , , , 
이관복명장냉면,원조물비빔냉면,11000, , , , 
이관복명장냉면,물냉면,11000, , , , 
이관복명장냉면,비빔냉면,11000, , , , 
이관복명장냉면,들기름냉면,11500, , , , 
이관복명장냉면,미나리돈까스,12500, , , , 
이관복명장냉면,돈까스,11000, , , , 
유성토박이,제주갈치조림 (대),45000, , , , 
